ID,Name,DRAJ2000,DDECJ2000,Label
13342,n/a,0,0,
13343,n/a,0,0,
13345,n/a,0,0,
13344,n/a,0,0,
13346,n/a,0,0,
13347,n/a,0,0,
13348,n/a,0,0,
13350,n/a,0,0,
13349,n/a,0,0,
13351,n/a,0,0,
13352,n/a,0,0,
13353,n/a,0,0,
13354,n/a,0,0,
13355,n/a,0,0,
13356,n/a,0,0,
13357,n/a,0,0,
13358,n/a,0,0,
13359,n/a,0,0,
13360,n/a,0,0,
13361,n/a,0,0,
13362,n/a,0,0,
13364,n/a,0,0,
13365,n/a,0,0,
13367,n/a,0,0,
13363,n/a,0,0,
13370,n/a,0,0,
13368,n/a,0,0,
13366,n/a,0,0,
13369,n/a,0,0,
13373,n/a,0,0,
13374,n/a,0,0,
13371,n/a,0,0,
13375,n/a,0,0,
13372,n/a,0,0,
13376,n/a,0,0,
13377,n/a,0,0,
13378,n/a,0,0,
13380,n/a,0,0,
13379,n/a,0,0,
13381,n/a,0,0,
13382,n/a,0,0,
13383,n/a,0,0,
13386,n/a,0,0,
13385,n/a,0,0,
13384,n/a,0,0,
13387,n/a,0,0,
13389,n/a,0,0,
13388,n/a,0,0,
13390,n/a,0,0,
13391,n/a,0,0,
13392,n/a,0,0,
13393,n/a,0,0,
13394,n/a,0,0,
13395,n/a,0,0,
13396,n/a,0,0,
13399,n/a,0,0,
13397,n/a,0,0,
13401,n/a,0,0,
13400,n/a,0,0,
13402,n/a,0,0,
13398,n/a,0,0,
13403,n/a,0,0,
13404,n/a,0,0,
13405,n/a,0,0,
13406,n/a,0,0,
13407,n/a,0,0,
13408,n/a,0,0,
13409,n/a,0,0,
13410,n/a,0,0,
13411,n/a,0,0,
13412,n/a,0,0,
13414,n/a,0,0,
13413,n/a,0,0,
13415,n/a,0,0,
13416,n/a,0,0,
13417,n/a,0,0,
13418,n/a,0,0,
13419,n/a,0,0,
13420,n/a,0,0,
13421,n/a,0,0,
13422,n/a,0,0,
13424,n/a,0,0,
13425,n/a,0,0,
13426,n/a,0,0,
13423,n/a,0,0,
13427,n/a,0,0,
13428,n/a,0,0,
13429,n/a,0,0,
13430,n/a,0,0,
13431,n/a,0,0,
13432,n/a,0,0,
13433,n/a,0,0,
13434,n/a,0,0,
13436,n/a,0,0,
13435,n/a,0,0,
13438,n/a,0,0,
13440,n/a,0,0,
13441,n/a,0,0,
13439,n/a,0,0,
13442,n/a,0,0,
13437,n/a,0,0,
13443,n/a,0,0,
13444,n/a,0,0,
13445,n/a,0,0,
13446,n/a,0,0,
13447,n/a,0,0,
13448,n/a,0,0,
13449,n/a,0,0,
13450,n/a,0,0,
13451,n/a,0,0,
13453,n/a,0,0,
13452,n/a,0,0,
13455,n/a,0,0,
13456,n/a,0,0,
13454,n/a,0,0,
13458,n/a,0,0,
13460,n/a,0,0,
13457,n/a,0,0,
13459,n/a,0,0,
13461,n/a,0,0,
13462,n/a,0,0,
13463,n/a,0,0,
13465,n/a,0,0,
13464,n/a,0,0,
13467,n/a,0,0,
13466,n/a,0,0,
13468,n/a,0,0,
13469,n/a,0,0,
13470,n/a,0,0,
13472,n/a,0,0,
13473,n/a,0,0,
13474,n/a,0,0,
13471,n/a,0,0,
13475,n/a,0,0,
13477,n/a,0,0,
13478,n/a,0,0,
13476,n/a,0,0,
13479,n/a,0,0,
13480,n/a,0,0,
13481,n/a,0,0,
13483,n/a,0,0,
13484,n/a,0,0,
13482,n/a,0,0,
13486,n/a,0,0,
13485,n/a,0,0,
13487,n/a,0,0,
13488,n/a,0,0,
13489,n/a,0,0,
13490,n/a,0,0,
13492,n/a,0,0,
13491,n/a,0,0,
13493,n/a,0,0,
13494,n/a,0,0,
13495,n/a,0,0,
13497,n/a,0,0,
13496,n/a,0,0,
13498,n/a,0,0,
13499,n/a,0,0,
13500,n/a,0,0,
13501,n/a,0,0,
13502,n/a,0,0,
13503,n/a,0,0,
13504,n/a,0,0,
13505,n/a,0,0,
13506,n/a,0,0,
13508,n/a,0,0,
13507,n/a,0,0,
13509,n/a,0,0,
13511,n/a,0,0,
13510,n/a,0,0,
13512,n/a,0,0,
13513,n/a,0,0,
13515,n/a,0,0,
13514,n/a,0,0,
13517,n/a,0,0,
13518,n/a,0,0,
13520,n/a,0,0,
13519,n/a,0,0,
13516,n/a,0,0,
13521,n/a,0,0,
13522,n/a,0,0,
13523,n/a,0,0,
13524,n/a,0,0,
13526,n/a,0,0,
13527,n/a,0,0,
13528,n/a,0,0,
13525,n/a,0,0,
13529,n/a,0,0,
13530,n/a,0,0,
13531,n/a,0,0,
13532,n/a,0,0,
13533,n/a,0,0,
13534,n/a,0,0,
13535,n/a,0,0,
13536,n/a,0,0,
13537,n/a,0,0,
13539,n/a,0,0,
13541,n/a,0,0,
13542,n/a,0,0,
13540,n/a,0,0,
13538,n/a,0,0,
13544,n/a,0,0,
13545,n/a,0,0,
13546,n/a,0,0,
13543,n/a,0,0,
13547,n/a,0,0,
13548,n/a,0,0,
13549,n/a,0,0,
13551,n/a,0,0,
13550,n/a,0,0,
13552,n/a,0,0,
13554,n/a,0,0,
13553,n/a,0,0,
13555,n/a,0,0,
13557,n/a,0,0,
13556,n/a,0,0,
13558,n/a,0,0,
13560,n/a,0,0,
13559,n/a,0,0,
13561,n/a,0,0,
13563,n/a,0,0,
13562,n/a,0,0,
13565,n/a,0,0,
13564,n/a,0,0,
13566,n/a,0,0,
13567,n/a,0,0,
13568,n/a,0,0,
13569,n/a,0,0,
13570,n/a,0,0,
13571,n/a,0,0,
13572,n/a,0,0,
13573,n/a,0,0,
13574,n/a,0,0,
13576,n/a,0,0,
13577,n/a,0,0,
13575,n/a,0,0,
13578,n/a,0,0,
13579,n/a,0,0,
13581,n/a,0,0,
13580,n/a,0,0,
13582,n/a,0,0,
13584,n/a,0,0,
13583,n/a,0,0,
13585,n/a,0,0,
13587,n/a,0,0,
13589,n/a,0,0,
13590,n/a,0,0,
13586,n/a,0,0,
13588,n/a,0,0,
13591,n/a,0,0,
13592,n/a,0,0,
13593,n/a,0,0,
13594,n/a,0,0,
13596,n/a,0,0,
13595,n/a,0,0,
13597,n/a,0,0,
13599,n/a,0,0,
13601,n/a,0,0,
13598,n/a,0,0,
13600,n/a,0,0,
13603,n/a,0,0,
13604,n/a,0,0,
13602,n/a,0,0,
13605,n/a,0,0,
13606,n/a,0,0,
13607,n/a,0,0,
13608,n/a,0,0,
13609,n/a,0,0,
13610,n/a,0,0,
13612,n/a,0,0,
13613,n/a,0,0,
13611,n/a,0,0,
13615,n/a,0,0,
13616,n/a,0,0,
13618,n/a,0,0,
13614,n/a,0,0,
13617,n/a,0,0,
13619,n/a,0,0,
13620,n/a,0,0,
13621,n/a,0,0,
13622,n/a,0,0,
13623,n/a,0,0,
13624,n/a,0,0,
13625,n/a,0,0,
13626,n/a,0,0,
13627,n/a,0,0,
13628,n/a,0,0,
13629,n/a,0,0,
13630,n/a,0,0,
13631,n/a,0,0,
13632,n/a,0,0,
13634,n/a,0,0,
13633,n/a,0,0,
13637,n/a,0,0,
13636,n/a,0,0,
13638,n/a,0,0,
13639,n/a,0,0,
13640,n/a,0,0,
13635,n/a,0,0,
13641,n/a,0,0,
13643,n/a,0,0,
13647,n/a,0,0,
13644,n/a,0,0,
13646,n/a,0,0,
13648,n/a,0,0,
13645,n/a,0,0,
13642,n/a,0,0,
13649,n/a,0,0,
13651,n/a,0,0,
13650,n/a,0,0,
13653,n/a,0,0,
13654,n/a,0,0,
13652,n/a,0,0,
13655,n/a,0,0,
13656,n/a,0,0,
13657,n/a,0,0,
13659,n/a,0,0,
13658,n/a,0,0,
13661,n/a,0,0,
13660,n/a,0,0,
13662,n/a,0,0,
13663,n/a,0,0,
13664,n/a,0,0,
13666,n/a,0,0,
13665,n/a,0,0,
13668,n/a,0,0,
13667,n/a,0,0,
13669,n/a,0,0,
13670,n/a,0,0,
13671,n/a,0,0,
13672,n/a,0,0,
13673,n/a,0,0,
13674,n/a,0,0,
13675,n/a,0,0,
13676,n/a,0,0,
13677,n/a,0,0,
13679,n/a,0,0,
13678,n/a,0,0,
13680,n/a,0,0,
13681,n/a,0,0,
13683,n/a,0,0,
13682,n/a,0,0,
13685,n/a,0,0,
13684,n/a,0,0,
13686,n/a,0,0,
13687,n/a,0,0,
13689,n/a,0,0,
