idPNMain,PNG,Name,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,LABEL
243,011.7-00.6,NGC 6567,13:45.2,-19:04:34.1,273.43817,-19.07614, True PN
244,011.7+00.0,M 1-43,11:48.9,-18:46:21.68,272.9537,-18.77269, True PN
246,011.9+04.2,M 1-32,56:20.0,-16:29:03.95,269.08325,-16.48443, True PN
247,012.2+04.9,PM 1-188,54:21.1,-15:55:51.78,268.58792,-15.93105, True PN
248,012.5-09.8,M 1-62,50:26.0,-22:34:22.55,282.60846,-22.57293, True PN
249,012.6-02.7,M 1-45,23:08.0,-19:17:05.24,275.78326,-19.28479, True PN
250,013.0-04.3,Pe 2-14,29:59.4,-19:40:37.67,277.49768,-19.67713, True PN
251,013.1+04.1,M 1-33,58:58.8,-15:32:14.78,269.74496,-15.53744, True PN
253,013.3+32.7,Sn 1,21:04.4,-00:16:10.52,245.26842,-0.26959, True PN
255,013.4-03.9,M 1-48,29:30.0,-19:05:44.59,277.37497,-19.09572, True PN
256,013.7-15.3,We 4-5,14:11.2,-23:41:24.00,288.5465,-23.69, Likely PN
257,013.8-07.9,PC 21,45:35.3,-20:34:59.6,281.39704,-20.58322, True PN
258,013.8-02.8,SaWe 3,26:03.7,-18:12:34.5,276.51533,-18.20958, True PN
259,014.0-05.5,V-V 3-5,36:32.3,-19:19:27.2,279.13475,-19.32422, True PN
260,014.2-07.3,M 3-31,44:01.8,-19:54:52.52,281.00735,-19.91459, True PN
261,014.3-05.5,V-V 3-6,37:11.1,-19:02:21.55,279.2962,-19.03932, True PN
262,014.4-06.1,SB 19,39:40.1,-19:14:12.05,279.9169,-19.23668, True PN
263,014.6-04.3,M 1-50,33:20.9,-18:16:36.88,278.33704,-18.27691, True PN
263,014.6-04.3,M 1-50,33:20.9,-18:16:36.88,278.33704,-18.27691, True PN
264,014.8-25.6,HaWe 14,58:13.1,-26:28:15.89,299.5545,-26.47108, Possible PN
265,014.9-03.1,SaSt 3-166,29:11.3,-17:27:12.89,277.29694,-17.45358, True PN
266,014.9+06.4,K 2-5,54:26.3,-12:48:34.0,268.60971,-12.80944, True PN
267,015.4-04.5,M 1-53,35:48.3,-17:36:08.285,278.9514,-17.6023, True PN
268,015.6-03.0,Abell 44,30:10.8,-16:45:20.52,277.545,-16.7557, True PN
269,015.9+03.3,M 1-39,07:30.7,-13:28:47.60,271.8779,-13.47989, True PN
270,016.0+13.5,Abell 42,31:29.1,-08:19:10.16,262.87112,-8.31949, True PN
271,016.0-04.3,M 1-54,36:08.4,-16:59:57.01,279.03482,-16.99917, True PN
272,016.1-04.7,M 1-56,37:46.3,-17:05:46.54,279.44272,-17.09626, True PN
273,016.4-01.9,M 1-46,27:56.3,-15:32:54.42,276.98474,-15.54845, True PN
274,016.7-07.3,SB 22,48:30.4,-17:43:54.77,282.12668,-17.73188, Likely PN
275,016.9-02.0,Sa 3-134,29:19.8,-15:07:39.97,277.33261,-15.12777, True PN
276,017.0+11.1,GLMP 621,42:14.4,-08:43:18.62,265.56012,-8.72184, True PN
277,017.3-21.9,Abell 65,46:34.2,-23:08:13.1,296.64254,-23.13697, True PN
278,017.5-07.4,SB 23,50:13.2,-17:02:21.55,282.55493,-17.03932, Possible PN
279,017.6-01.1,VSP 2-18,27:13.4,-14:08:34.58,276.80579,-14.14294, True PN
280,017.6-10.2,Abell 51,01:01.4,-18:12:15.5,285.25579,-18.20431, True PN
281,017.7-02.9,M 1-52,33:58.5,-14:52:25.03,278.49393,-14.87362, True PN
282,017.9-04.8,M 3-30,41:14.9,-15:33:41.40,280.312,-15.5615, True PN
